name,latent_path,original_bytes,openzl_bytes,zstd_bytes,delta_vs_zstd_bytes,saved_vs_original_bytes,original_mb,openzl_mb,zstd_mb,delta_vs_zstd_mb,saved_vs_original_mb,original_mib,openzl_mib,zstd_mib,ratio_original_to_openzl,delta_vs_zstd_percent,saved_vs_original_percent,original_sha256,restored_sha256,verified_lossless
000_subject_consistency_r00_p003_a_person_eating_a_burger,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/000_subject_consistency_r00_p003_a_person_eating_a_burger.pt,20953351,19192452,19196455,-4003,1760899,20.953351,19.192452,19.196455,-0.004003,1.760899,19.982673,18.303349,18.307166,1.09175,-0.020853,8.403902,ba51b2e435c4b87f73c9bb7de6022809a53389b0ea1edeb258972214c636d288,ba51b2e435c4b87f73c9bb7de6022809a53389b0ea1edeb258972214c636d288,True
001_subject_consistency_r01_p014_a_car_accelerating_to_gain_speed,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/001_subject_consistency_r01_p014_a_car_accelerating_to_gain_speed.pt,20953471,19252123,19248919,3204,1701348,20.953471,19.252123,19.248919,0.003204,1.701348,19.982787,18.360255,18.3572,1.088372,0.016645,8.119648,2d4ad0e3fbc8c72580a14d5d343709ebbf7499e7a3e0d6b7f89e98a1bbe14131,2d4ad0e3fbc8c72580a14d5d343709ebbf7499e7a3e0d6b7f89e98a1bbe14131,True
002_subject_consistency_r02_p031_a_truck_anchored_in_a_tranquil_bay,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/002_subject_consistency_r02_p031_a_truck_anchored_in_a_tranquil_bay.pt,20953613,18984823,18946847,37976,1968790,20.953613,18.984823,18.946847,0.037976,1.96879,19.982923,18.105338,18.069121,1.103703,0.200434,9.395945,deef2af2329a0a90c6a309a0df9729fa3ec7f71a4f23cb494920b82835b12ce7,deef2af2329a0a90c6a309a0df9729fa3ec7f71a4f23cb494920b82835b12ce7,True
003_subject_consistency_r03_p035_a_boat_sailing_smoothly_on_a_calm_lake,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/003_subject_consistency_r03_p035_a_boat_sailing_smoothly_on_a_calm_lake.pt,20953705,19080351,19056187,24164,1873354,20.953705,19.080351,19.056187,0.024164,1.873354,19.98301,18.196441,18.173396,1.098182,0.126804,8.940443,cd8070757237477cfbaed588b08d2aa6d3a4b17d8df7c4739443f0bc89f0d969,cd8070757237477cfbaed588b08d2aa6d3a4b17d8df7c4739443f0bc89f0d969,True
004_background_consistency_r00_p013_bridge,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/004_background_consistency_r00_p013_bridge.pt,20953118,19046269,19015279,30990,1906849,20.953118,19.046269,19.015279,0.03099,1.906849,19.98245,18.163938,18.134383,1.100117,0.162974,9.10055,acd05bf85770df7386e410d47a8f1e29377cd2a46bad8d77050dcb969c318448,acd05bf85770df7386e410d47a8f1e29377cd2a46bad8d77050dcb969c318448,True
005_background_consistency_r01_p017_campus,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/005_background_consistency_r01_p017_campus.pt,20953118,19156024,19133089,22935,1797094,20.953118,19.156024,19.133089,0.022935,1.797094,19.98245,18.268608,18.246736,1.093814,0.119871,8.576738,574e9b41735c7e2824cf5757de022fd5826a6375d1482900ecefb2ebcc13cdf1,574e9b41735c7e2824cf5757de022fd5826a6375d1482900ecefb2ebcc13cdf1,True
006_background_consistency_r02_p028_downtown,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/006_background_consistency_r02_p028_downtown.pt,20953132,19151372,19140739,10633,1801760,20.953132,19.151372,19.140739,0.010633,1.80176,19.982464,18.264172,18.254031,1.09408,0.055552,8.599001,c2267276f9b083b21b9b7c682ae3e2d6226e0804aa02eaef970c8fd1f76fea67,c2267276f9b083b21b9b7c682ae3e2d6226e0804aa02eaef970c8fd1f76fea67,True
007_background_consistency_r03_p069_ski_slope,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/007_background_consistency_r03_p069_ski_slope.pt,20953139,19097315,19069130,28185,1855824,20.953139,19.097315,19.06913,0.028185,1.855824,19.982471,18.212619,18.18574,1.097177,0.147804,8.857021,c5c34a4768cca10164425c43fa5c3cefe313aa8305d32cb7078a31cb9bb71e68,c5c34a4768cca10164425c43fa5c3cefe313aa8305d32cb7078a31cb9bb71e68,True
008_temporal_flickering_r00_p003_a_tranquil_tableau_of_alley,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/008_temporal_flickering_r00_p003_a_tranquil_tableau_of_alley.pt,20953436,19106864,19095790,11074,1846572,20.953436,19.106864,19.09579,0.011074,1.846572,19.982754,18.221725,18.211164,1.096644,0.057992,8.812741,0f733730449d9fadd5646789b5d8db78acbbc2d3933a513052bd595127c61b06,0f733730449d9fadd5646789b5d8db78acbbc2d3933a513052bd595127c61b06,True
009_temporal_flickering_r01_p004_a_tranquil_tableau_of_bar,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/009_temporal_flickering_r01_p004_a_tranquil_tableau_of_bar.pt,20953358,19144557,19138380,6177,1808801,20.953358,19.144557,19.13838,0.006177,1.808801,19.982679,18.257672,18.251781,1.094481,0.032275,8.632511,95990a5eababa7f35417b998e58b64df02375a9fc4c4ab80cf3243d6141fc616,95990a5eababa7f35417b998e58b64df02375a9fc4c4ab80cf3243d6141fc616,True
