name,latent_path,latent_shape,dtype,original_pt_bytes,original_tensor_bytes,pt_metadata_overhead_bytes,pcodec_bytes,zstd_bytes,openzl_bytes,original_pt_mb,original_tensor_mb,pcodec_mb,zstd_mb,openzl_mb,pcodec_saved_vs_tensor_mb,pcodec_delta_vs_zstd_mb,pcodec_delta_vs_openzl_mb,ratio_tensor_to_pcodec,verified_lossless,original_tensor_sha256,restored_tensor_sha256
000_subject_consistency_r00_p003_a_person_eating_a_burger,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/000_subject_consistency_r00_p003_a_person_eating_a_burger.pt,"[48, 31, 44, 80]",float32,20953351,20951040,2311,17037039,19196455,19192452,20.953351,20.95104,17.037039,19.196455,19.192452,3.914001,-2.159416,-2.155413,1.229735,True,2bcc4cfac78044cb8ab97a62dab29a00eda5e14373e51bd49c0d68ed0d4edd49,2bcc4cfac78044cb8ab97a62dab29a00eda5e14373e51bd49c0d68ed0d4edd49
001_subject_consistency_r01_p014_a_car_accelerating_to_gain_speed,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/001_subject_consistency_r01_p014_a_car_accelerating_to_gain_speed.pt,"[48, 31, 44, 80]",float32,20953471,20951040,2431,16942656,19248919,19252123,20.953471,20.95104,16.942656,19.248919,19.252123,4.008384,-2.306263,-2.309467,1.236585,True,e6d2af2cba30644d39905474099a8f7e7ae01f8e3e5715563abb5d6bb9e46811,e6d2af2cba30644d39905474099a8f7e7ae01f8e3e5715563abb5d6bb9e46811
002_subject_consistency_r02_p031_a_truck_anchored_in_a_tranquil_bay,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/002_subject_consistency_r02_p031_a_truck_anchored_in_a_tranquil_bay.pt,"[48, 31, 44, 80]",float32,20953613,20951040,2573,16348334,18946847,18984823,20.953613,20.95104,16.348334,18.946847,18.984823,4.602706,-2.598513,-2.636489,1.28154,True,6212ebfc6c99b66706ddfd8929ce72a9707ea0c227da4a23c5051ac8c6d68f11,6212ebfc6c99b66706ddfd8929ce72a9707ea0c227da4a23c5051ac8c6d68f11
003_subject_consistency_r03_p035_a_boat_sailing_smoothly_on_a_calm_lake,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/003_subject_consistency_r03_p035_a_boat_sailing_smoothly_on_a_calm_lake.pt,"[48, 31, 44, 80]",float32,20953705,20951040,2665,16538767,19056187,19080351,20.953705,20.95104,16.538767,19.056187,19.080351,4.412273,-2.51742,-2.541584,1.266784,True,c074e81405a94ec8e6f8867f7f4590f407efb665ceff35ccc7115728ec16fa8f,c074e81405a94ec8e6f8867f7f4590f407efb665ceff35ccc7115728ec16fa8f
004_background_consistency_r00_p013_bridge,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/004_background_consistency_r00_p013_bridge.pt,"[48, 31, 44, 80]",float32,20953118,20951040,2078,16560867,19015279,19046269,20.953118,20.95104,16.560867,19.015279,19.046269,4.390173,-2.454412,-2.485402,1.265093,True,7af4118359709a7b31a0b96612e8da32316ef87574b6f9cffa4d2371a49704a0,7af4118359709a7b31a0b96612e8da32316ef87574b6f9cffa4d2371a49704a0
005_background_consistency_r01_p017_campus,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/005_background_consistency_r01_p017_campus.pt,"[48, 31, 44, 80]",float32,20953118,20951040,2078,16832740,19133089,19156024,20.953118,20.95104,16.83274,19.133089,19.156024,4.1183,-2.300349,-2.323284,1.24466,True,232bced8d4d6371ba4103803ae7e4c870cdd90ec6fc336c58a43ee6a97b8ab33,232bced8d4d6371ba4103803ae7e4c870cdd90ec6fc336c58a43ee6a97b8ab33
006_background_consistency_r02_p028_downtown,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/006_background_consistency_r02_p028_downtown.pt,"[48, 31, 44, 80]",float32,20953132,20951040,2092,17056508,19140739,19151372,20.953132,20.95104,17.056508,19.140739,19.151372,3.894532,-2.084231,-2.094864,1.228331,True,75a90b19446296c9544b5526b791057a48dbdf8f4e0a1661ab4b927d148f04d0,75a90b19446296c9544b5526b791057a48dbdf8f4e0a1661ab4b927d148f04d0
007_background_consistency_r03_p069_ski_slope,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/007_background_consistency_r03_p069_ski_slope.pt,"[48, 31, 44, 80]",float32,20953139,20951040,2099,16652053,19069130,19097315,20.953139,20.95104,16.652053,19.06913,19.097315,4.298987,-2.417077,-2.445262,1.258166,True,42bba9a0caa672ab5940c75ff4005e5823b97a1be55ac0eb63159ec449d7ae96,42bba9a0caa672ab5940c75ff4005e5823b97a1be55ac0eb63159ec449d7ae96
008_temporal_flickering_r00_p003_a_tranquil_tableau_of_alley,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/008_temporal_flickering_r00_p003_a_tranquil_tableau_of_alley.pt,"[48, 31, 44, 80]",float32,20953436,20951040,2396,17000130,19095790,19106864,20.953436,20.95104,17.00013,19.09579,19.106864,3.95091,-2.09566,-2.106734,1.232405,True,991f11b3f50c5dc1f43576676f7f2bc6125e6f3c4aa9a7e17c6c1f00fd8c585d,991f11b3f50c5dc1f43576676f7f2bc6125e6f3c4aa9a7e17c6c1f00fd8c585d
009_temporal_flickering_r01_p004_a_tranquil_tableau_of_bar,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/009_temporal_flickering_r01_p004_a_tranquil_tableau_of_bar.pt,"[48, 31, 44, 80]",float32,20953358,20951040,2318,17035004,19138380,19144557,20.953358,20.95104,17.035004,19.13838,19.144557,3.916036,-2.103376,-2.109553,1.229882,True,e1eabce9cefc6e0a1718c5fdd036732657eb2862a4e3ddfcd47ade4e4b08c9a8,e1eabce9cefc6e0a1718c5fdd036732657eb2862a4e3ddfcd47ade4e4b08c9a8
