name,latent_path,original_bytes,zstd_bytes,zstd_then_openzl_bytes,delta_vs_zstd_bytes,saved_vs_original_bytes,original_mb,zstd_mb,zstd_then_openzl_mb,delta_vs_zstd_mb,saved_vs_original_mb,original_mib,zstd_mib,zstd_then_openzl_mib,ratio_original_to_zstd,ratio_original_to_final,delta_vs_zstd_percent,saved_vs_original_percent,original_sha256,restored_sha256,verified_lossless
000_subject_consistency_r00_p003_a_person_eating_a_burger,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/000_subject_consistency_r00_p003_a_person_eating_a_burger.pt,20953351,19191728,19192208,480,1761143,20.953351,19.191728,19.192208,0.00048,1.761143,19.982673,18.302658,18.303116,1.091791,1.091763,0.002501,8.405066,ba51b2e435c4b87f73c9bb7de6022809a53389b0ea1edeb258972214c636d288,ba51b2e435c4b87f73c9bb7de6022809a53389b0ea1edeb258972214c636d288,True
001_subject_consistency_r01_p014_a_car_accelerating_to_gain_speed,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/001_subject_consistency_r01_p014_a_car_accelerating_to_gain_speed.pt,20953471,19252407,19252887,480,1700584,20.953471,19.252407,19.252887,0.00048,1.700584,19.982787,18.360526,18.360984,1.088356,1.088329,0.002493,8.116001,2d4ad0e3fbc8c72580a14d5d343709ebbf7499e7a3e0d6b7f89e98a1bbe14131,2d4ad0e3fbc8c72580a14d5d343709ebbf7499e7a3e0d6b7f89e98a1bbe14131,True
002_subject_consistency_r02_p031_a_truck_anchored_in_a_tranquil_bay,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/002_subject_consistency_r02_p031_a_truck_anchored_in_a_tranquil_bay.pt,20953613,18947021,18947495,474,2006118,20.953613,18.947021,18.947495,0.000474,2.006118,19.982923,18.069287,18.069739,1.105905,1.105878,0.002502,9.574091,deef2af2329a0a90c6a309a0df9729fa3ec7f71a4f23cb494920b82835b12ce7,deef2af2329a0a90c6a309a0df9729fa3ec7f71a4f23cb494920b82835b12ce7,True
003_subject_consistency_r03_p035_a_boat_sailing_smoothly_on_a_calm_lake,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/003_subject_consistency_r03_p035_a_boat_sailing_smoothly_on_a_calm_lake.pt,20953705,19054364,19054841,477,1898864,20.953705,19.054364,19.054841,0.000477,1.898864,19.98301,18.171658,18.172112,1.09968,1.099653,0.002503,9.062187,cd8070757237477cfbaed588b08d2aa6d3a4b17d8df7c4739443f0bc89f0d969,cd8070757237477cfbaed588b08d2aa6d3a4b17d8df7c4739443f0bc89f0d969,True
004_background_consistency_r00_p013_bridge,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/004_background_consistency_r00_p013_bridge.pt,20953118,19015413,19015890,477,1937228,20.953118,19.015413,19.01589,0.000477,1.937228,19.98245,18.134511,18.134966,1.101902,1.101874,0.002508,9.245536,acd05bf85770df7386e410d47a8f1e29377cd2a46bad8d77050dcb969c318448,acd05bf85770df7386e410d47a8f1e29377cd2a46bad8d77050dcb969c318448,True
005_background_consistency_r01_p017_campus,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/005_background_consistency_r01_p017_campus.pt,20953118,19132671,19133148,477,1819970,20.953118,19.132671,19.133148,0.000477,1.81997,19.98245,18.246337,18.246792,1.095149,1.095121,0.002493,8.685915,574e9b41735c7e2824cf5757de022fd5826a6375d1482900ecefb2ebcc13cdf1,574e9b41735c7e2824cf5757de022fd5826a6375d1482900ecefb2ebcc13cdf1,True
006_background_consistency_r02_p028_downtown,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/006_background_consistency_r02_p028_downtown.pt,20953132,19151721,19152201,480,1800931,20.953132,19.151721,19.152201,0.00048,1.800931,19.982464,18.264504,18.264962,1.09406,1.094033,0.002506,8.595044,c2267276f9b083b21b9b7c682ae3e2d6226e0804aa02eaef970c8fd1f76fea67,c2267276f9b083b21b9b7c682ae3e2d6226e0804aa02eaef970c8fd1f76fea67,True
007_background_consistency_r03_p069_ski_slope,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/007_background_consistency_r03_p069_ski_slope.pt,20953139,19068285,19068762,477,1884377,20.953139,19.068285,19.068762,0.000477,1.884377,19.982471,18.184934,18.185389,1.098848,1.09882,0.002502,8.993292,c5c34a4768cca10164425c43fa5c3cefe313aa8305d32cb7078a31cb9bb71e68,c5c34a4768cca10164425c43fa5c3cefe313aa8305d32cb7078a31cb9bb71e68,True
008_temporal_flickering_r00_p003_a_tranquil_tableau_of_alley,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/008_temporal_flickering_r00_p003_a_tranquil_tableau_of_alley.pt,20953436,19096228,19096705,477,1856731,20.953436,19.096228,19.096705,0.000477,1.856731,19.982754,18.211582,18.212037,1.097255,1.097228,0.002498,8.861224,0f733730449d9fadd5646789b5d8db78acbbc2d3933a513052bd595127c61b06,0f733730449d9fadd5646789b5d8db78acbbc2d3933a513052bd595127c61b06,True
009_temporal_flickering_r01_p004_a_tranquil_tableau_of_bar,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/009_temporal_flickering_r01_p004_a_tranquil_tableau_of_bar.pt,20953358,19143582,19144062,480,1809296,20.953358,19.143582,19.144062,0.00048,1.809296,19.982679,18.256742,18.2572,1.094537,1.09451,0.002507,8.634874,95990a5eababa7f35417b998e58b64df02375a9fc4c4ab80cf3243d6141fc616,95990a5eababa7f35417b998e58b64df02375a9fc4c4ab80cf3243d6141fc616,True
