name,latent_path,compressed_path,original_bytes,compressed_bytes,saved_bytes,original_mb,compressed_mb,saved_mb,original_mib,compressed_mib,saved_mib,compression_ratio,saved_percent,original_sha256,restored_sha256,verified_lossless
000_subject_consistency_r00_p003_a_person_eating_a_burger,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/000_subject_consistency_r00_p003_a_person_eating_a_burger.pt,,20953351,19196455,1756896,20.953351,19.196455,1.756896,19.982673,18.307166,1.675507,1.091522,8.3848,ba51b2e435c4b87f73c9bb7de6022809a53389b0ea1edeb258972214c636d288,ba51b2e435c4b87f73c9bb7de6022809a53389b0ea1edeb258972214c636d288,True
001_subject_consistency_r01_p014_a_car_accelerating_to_gain_speed,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/001_subject_consistency_r01_p014_a_car_accelerating_to_gain_speed.pt,,20953471,19248919,1704552,20.953471,19.248919,1.704552,19.982787,18.3572,1.625587,1.088553,8.1349,2d4ad0e3fbc8c72580a14d5d343709ebbf7499e7a3e0d6b7f89e98a1bbe14131,2d4ad0e3fbc8c72580a14d5d343709ebbf7499e7a3e0d6b7f89e98a1bbe14131,True
002_subject_consistency_r02_p031_a_truck_anchored_in_a_tranquil_bay,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/002_subject_consistency_r02_p031_a_truck_anchored_in_a_tranquil_bay.pt,,20953613,18946847,2006766,20.953613,18.946847,2.006766,19.982923,18.069121,1.913801,1.105916,9.5772,deef2af2329a0a90c6a309a0df9729fa3ec7f71a4f23cb494920b82835b12ce7,deef2af2329a0a90c6a309a0df9729fa3ec7f71a4f23cb494920b82835b12ce7,True
003_subject_consistency_r03_p035_a_boat_sailing_smoothly_on_a_calm_lake,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/003_subject_consistency_r03_p035_a_boat_sailing_smoothly_on_a_calm_lake.pt,,20953705,19056187,1897518,20.953705,19.056187,1.897518,19.98301,18.173396,1.809614,1.099575,9.0558,cd8070757237477cfbaed588b08d2aa6d3a4b17d8df7c4739443f0bc89f0d969,cd8070757237477cfbaed588b08d2aa6d3a4b17d8df7c4739443f0bc89f0d969,True
004_background_consistency_r00_p013_bridge,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/004_background_consistency_r00_p013_bridge.pt,,20953118,19015279,1937839,20.953118,19.015279,1.937839,19.98245,18.134383,1.848067,1.10191,9.2485,acd05bf85770df7386e410d47a8f1e29377cd2a46bad8d77050dcb969c318448,acd05bf85770df7386e410d47a8f1e29377cd2a46bad8d77050dcb969c318448,True
005_background_consistency_r01_p017_campus,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/005_background_consistency_r01_p017_campus.pt,,20953118,19133089,1820029,20.953118,19.133089,1.820029,19.98245,18.246736,1.735715,1.095125,8.6862,574e9b41735c7e2824cf5757de022fd5826a6375d1482900ecefb2ebcc13cdf1,574e9b41735c7e2824cf5757de022fd5826a6375d1482900ecefb2ebcc13cdf1,True
006_background_consistency_r02_p028_downtown,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/006_background_consistency_r02_p028_downtown.pt,,20953132,19140739,1812393,20.953132,19.140739,1.812393,19.982464,18.254031,1.728433,1.094688,8.6497,c2267276f9b083b21b9b7c682ae3e2d6226e0804aa02eaef970c8fd1f76fea67,c2267276f9b083b21b9b7c682ae3e2d6226e0804aa02eaef970c8fd1f76fea67,True
007_background_consistency_r03_p069_ski_slope,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/007_background_consistency_r03_p069_ski_slope.pt,,20953139,19069130,1884009,20.953139,19.06913,1.884009,19.982471,18.18574,1.796731,1.098799,8.9915,c5c34a4768cca10164425c43fa5c3cefe313aa8305d32cb7078a31cb9bb71e68,c5c34a4768cca10164425c43fa5c3cefe313aa8305d32cb7078a31cb9bb71e68,True
008_temporal_flickering_r00_p003_a_tranquil_tableau_of_alley,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/008_temporal_flickering_r00_p003_a_tranquil_tableau_of_alley.pt,,20953436,19095790,1857646,20.953436,19.09579,1.857646,19.982754,18.211164,1.771589,1.09728,8.8656,0f733730449d9fadd5646789b5d8db78acbbc2d3933a513052bd595127c61b06,0f733730449d9fadd5646789b5d8db78acbbc2d3933a513052bd595127c61b06,True
009_temporal_flickering_r01_p004_a_tranquil_tableau_of_bar,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/009_temporal_flickering_r01_p004_a_tranquil_tableau_of_bar.pt,,20953358,19138380,1814978,20.953358,19.13838,1.814978,19.982679,18.251781,1.730898,1.094834,8.662,95990a5eababa7f35417b998e58b64df02375a9fc4c4ab80cf3243d6141fc616,95990a5eababa7f35417b998e58b64df02375a9fc4c4ab80cf3243d6141fc616,True
010_temporal_flickering_r02_p011_a_tranquil_tableau_of_house,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/010_temporal_flickering_r02_p011_a_tranquil_tableau_of_house.pt,,20953436,19074892,1878544,20.953436,19.074892,1.878544,19.982754,18.191235,1.791519,1.098483,8.9653,c41e9bba09f54d35cc6a5a647b8ac49a19ebed43644463d79444708028850e60,c41e9bba09f54d35cc6a5a647b8ac49a19ebed43644463d79444708028850e60,True
011_temporal_flickering_r03_p054_a_tranquil_tableau_of_in_the_heart_of_plaka_the_neoclassical_architecture_of_the,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/011_temporal_flickering_r03_p054_a_tranquil_tableau_of_in_the_heart_of_plaka_the_neoclassical_architecture_of_the.pt,,20954191,19074794,1879397,20.954191,19.074794,1.879397,19.983474,18.191141,1.792333,1.098528,8.9691,3fd35e67c467864da3b92fc925e075c3cbf9e6e0260f538465a99dd1a5443448,3fd35e67c467864da3b92fc925e075c3cbf9e6e0260f538465a99dd1a5443448,True
012_motion_smoothness_r00_p011_a_car_stuck_in_traffic_during_rush_hour,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/012_motion_smoothness_r00_p011_a_car_stuck_in_traffic_during_rush_hour.pt,,20953634,19205602,1748032,20.953634,19.205602,1.748032,19.982943,18.315889,1.667053,1.091017,8.3424,b86325a232dc9f5ddcf80a6f53f5c42a1c213f7362c2d4451ea0c63ef2435fa5,b86325a232dc9f5ddcf80a6f53f5c42a1c213f7362c2d4451ea0c63ef2435fa5,True
013_motion_smoothness_r01_p027_a_train_speeding_down_the_tracks,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/013_motion_smoothness_r01_p027_a_train_speeding_down_the_tracks.pt,,20953457,19229296,1724161,20.953457,19.229296,1.724161,19.982774,18.338486,1.644288,1.089663,8.2285,ac0fc8854408fef65a6fdcbfbc3981dc9aa8d4dcbf2120eb9949af577ad129b3,ac0fc8854408fef65a6fdcbfbc3981dc9aa8d4dcbf2120eb9949af577ad129b3,True
014_motion_smoothness_r02_p029_a_train_accelerating_to_gain_speed,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/014_motion_smoothness_r02_p029_a_train_accelerating_to_gain_speed.pt,,20953471,19272225,1681246,20.953471,19.272225,1.681246,19.982787,18.379426,1.603361,1.087237,8.0237,28d80870fbf0f2ce0c050905af0337676062fa4cc4889836c2568419dd3f446f,28d80870fbf0f2ce0c050905af0337676062fa4cc4889836c2568419dd3f446f,True
015_motion_smoothness_r03_p064_a_bear_climbing_a_tree,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/015_motion_smoothness_r03_p064_a_bear_climbing_a_tree.pt,,20953195,19249323,1703872,20.953195,19.249323,1.703872,19.982524,18.357585,1.624939,1.088516,8.1318,a44ddc599f1c607cbbb2c28615e69b62ae86f0964686451fd31105b6feaea28f,a44ddc599f1c607cbbb2c28615e69b62ae86f0964686451fd31105b6feaea28f,True
016_dynamic_degree_r00_p003_a_person_eating_a_burger,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/016_dynamic_degree_r00_p003_a_person_eating_a_burger.pt,,20953188,19195698,1757490,20.953188,19.195698,1.75749,19.982517,18.306444,1.676073,1.091556,8.3877,889363e54757cf84f4415af5780e28252ee2d6b6aef8cdb05a855729d2cca396,889363e54757cf84f4415af5780e28252ee2d6b6aef8cdb05a855729d2cca396,True
017_dynamic_degree_r01_p025_a_bus_stuck_in_traffic_during_rush_hour,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/017_dynamic_degree_r01_p025_a_bus_stuck_in_traffic_during_rush_hour.pt,,20953613,19219874,1733739,20.953613,19.219874,1.733739,19.982923,18.3295,1.653422,1.090206,8.2742,78005e2f5165a48a33d79c7266aea4cf971241d394f22f9002fb6e40ea2cc2a0,78005e2f5165a48a33d79c7266aea4cf971241d394f22f9002fb6e40ea2cc2a0,True
018_dynamic_degree_r02_p069_a_giraffe_bending_down_to_drink_water_from_a_river,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/018_dynamic_degree_r02_p069_a_giraffe_bending_down_to_drink_water_from_a_river.pt,,20953754,19163242,1790512,20.953754,19.163242,1.790512,19.983057,18.275492,1.707565,1.093435,8.5451,e40d6a31c95a9a9063826765f4e91a5c42de676024517ad7b5ec87f23edb345f,e40d6a31c95a9a9063826765f4e91a5c42de676024517ad7b5ec87f23edb345f,True
019_dynamic_degree_r03_p071_a_giraffe_running_to_join_a_herd_of_its_kind,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/019_dynamic_degree_r03_p071_a_giraffe_running_to_join_a_herd_of_its_kind.pt,,20953712,19037801,1915911,20.953712,19.037801,1.915911,19.983017,18.155862,1.827155,1.100637,9.1435,2f5eea22fd094589f33d2216b3c73edc91838a195f2316de7d75c1a1242bba11,2f5eea22fd094589f33d2216b3c73edc91838a195f2316de7d75c1a1242bba11,True
020_aesthetic_quality_r00_p028_origami_dancers_in_white_paper_3d_render_on_white_background_studio_shot_dancing,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/020_aesthetic_quality_r00_p028_origami_dancers_in_white_paper_3d_render_on_white_background_studio_shot_dancing.pt,,20954177,19002682,1951495,20.954177,19.002682,1.951495,19.98346,18.12237,1.861091,1.102696,9.3132,8f644a29a03babed454f2b649498c2adf380b50fdfe781a9150d0c0ee30e5414,8f644a29a03babed454f2b649498c2adf380b50fdfe781a9150d0c0ee30e5414,True
021_aesthetic_quality_r01_p053_a_jellyfish_floating_through_the_ocean_with_bioluminescent_tentacles,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/021_aesthetic_quality_r01_p053_a_jellyfish_floating_through_the_ocean_with_bioluminescent_tentacles.pt,,20954029,18648128,2305901,20.954029,18.648128,2.305901,19.983319,17.784241,2.199079,1.123653,11.0046,7f59cc1eb958885326ad47a0eeacd1dc0e0e09300ea4da976a6bb8f5aefedafe,7f59cc1eb958885326ad47a0eeacd1dc0e0e09300ea4da976a6bb8f5aefedafe,True
022_aesthetic_quality_r02_p057_a_steam_train_moving_on_a_mountainside,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/022_aesthetic_quality_r02_p057_a_steam_train_moving_on_a_mountainside.pt,,20953627,19220958,1732669,20.953627,19.220958,1.732669,19.982936,18.330534,1.652402,1.090145,8.2691,83db666e853e1492c30b4f85ce52ecd54a4d513ad2fe44f4615e4442910f3bde,83db666e853e1492c30b4f85ce52ecd54a4d513ad2fe44f4615e4442910f3bde,True
023_aesthetic_quality_r03_p075_a_happy_fuzzy_panda_playing_guitar_nearby_a_campfire_snow_mountain_in_the_backgr,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/023_aesthetic_quality_r03_p075_a_happy_fuzzy_panda_playing_guitar_nearby_a_campfire_snow_mountain_in_the_backgr.pt,,20954113,19270686,1683427,20.954113,19.270686,1.683427,19.983399,18.377958,1.605441,1.087357,8.0339,489ff6b8230cb3b64b3d968040a94342d74e9d13c5c63d5944258bd98de5bef9,489ff6b8230cb3b64b3d968040a94342d74e9d13c5c63d5944258bd98de5bef9,True
024_imaging_quality_r00_p000_close_up_of_grapes_on_a_rotating_table,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/024_imaging_quality_r00_p000_close_up_of_grapes_on_a_rotating_table.pt,,20953613,19273631,1679982,20.953613,19.273631,1.679982,19.982923,18.380767,1.602156,1.087165,8.0176,3314cb981d58bca2a46f687aaa4a127624be2acaf29b700de018aa9044f8c5aa,3314cb981d58bca2a46f687aaa4a127624be2acaf29b700de018aa9044f8c5aa,True
025_imaging_quality_r01_p020_a_shark_is_swimming_in_the_ocean,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/025_imaging_quality_r01_p020_a_shark_is_swimming_in_the_ocean.pt,,20953443,18629673,2323770,20.953443,18.629673,2.32377,19.98276,17.766641,2.21612,1.124735,11.0902,985a3f25596dc71cfdbd0989714ba4b68e4b0edd6006e64a7dbc04b448d4099c,985a3f25596dc71cfdbd0989714ba4b68e4b0edd6006e64a7dbc04b448d4099c,True
026_imaging_quality_r02_p035_busy_freeway_at_night,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/026_imaging_quality_r02_p035_busy_freeway_at_night.pt,,20953174,18933355,2019819,20.953174,18.933355,2.019819,19.982504,18.056254,1.92625,1.10668,9.6397,6747cc53cec3da0888c9b5158d7417147e2ed8b2481c624a0ee6d832df523bef,6747cc53cec3da0888c9b5158d7417147e2ed8b2481c624a0ee6d832df523bef,True
027_imaging_quality_r03_p089_hyper_realistic_spaceship_landing_on_mars,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/027_imaging_quality_r03_p089_hyper_realistic_spaceship_landing_on_mars.pt,,20953634,19149625,1804009,20.953634,19.149625,1.804009,19.982943,18.262506,1.720437,1.094206,8.6095,bb1d91c533aa9d27ed3b9e2926dfc75426d5fd9625ff1c818fc85badf452db18,bb1d91c533aa9d27ed3b9e2926dfc75426d5fd9625ff1c818fc85badf452db18,True
028_object_class_r00_p019_a_cow,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/028_object_class_r00_p019_a_cow.pt,,20953041,19167705,1785336,20.953041,19.167705,1.785336,19.982377,18.279748,1.702629,1.093143,8.5207,d9a3900cacd70a16f5a15de7ec53bd324fb18ed6c19d6a20956702b20df57d51,d9a3900cacd70a16f5a15de7ec53bd324fb18ed6c19d6a20956702b20df57d51,True
