name,prompt,fps,frame_num,size,raw_frame_bytes,raw_frame_mb,latent_pt_bytes,latent_pt_mb,latent_raw_bytes,latent_raw_mb,mp4_bytes,mp4_mb,latent_shape,intra_latent_bytes,intra_latent_mb,intra_vs_pt_ratio,intra_vs_raw_ratio,intra_latent_mse,intra_latent_mae,intra_latent_max_abs,intra_raw_frame_mse,intra_raw_psnr_db,intra_mp4_psnr_db,intra_mp4_ssim,inter_latent_bytes,inter_latent_mb,inter_vs_pt_ratio,inter_vs_raw_ratio,inter_latent_mse,inter_latent_mae,inter_latent_max_abs,inter_raw_frame_mse,inter_raw_psnr_db,inter_mp4_psnr_db,inter_mp4_ssim
000_subject_consistency_r00_p003_a_person_eating_a_burger,a person eating a burger,24,121,1280*704,327106560,327.1066,20953351,20.9534,20951040,20.951,8192914,8.1929,"[48, 31, 44, 80]",4585964,4.586,4.569,4.5685,9.546e-05,0.00821351,0.02800232,0.2180398,54.745446,49.252154,0.992508,4215926,4.2159,4.97,4.9695,0.00183027,0.03173181,0.34295741,1.45608604,46.498933,47.194402,0.990952
001_subject_consistency_r01_p014_a_car_accelerating_to_gain_speed,a car accelerating to gain speed,24,121,1280*704,327106560,327.1066,20953471,20.9535,20951040,20.951,11258327,11.2583,"[48, 31, 44, 80]",4476776,4.4768,4.6805,4.6799,0.00010135,0.00853383,0.02401172,0.43034914,51.792594,47.59188,0.992278,4038062,4.0381,5.189,5.1884,0.00195619,0.03258847,0.40670514,5.22144747,40.952894,43.041363,0.988603
002_subject_consistency_r02_p031_a_truck_anchored_in_a_tranquil_bay,a truck anchored in a tranquil bay,24,121,1280*704,327106560,327.1066,20953613,20.9536,20951040,20.951,14509476,14.5095,"[48, 31, 44, 80]",4180129,4.1801,5.0127,5.0121,8.269e-05,0.00772484,0.0243163,2.24300313,44.622505,44.932702,0.993528,3555260,3.5553,5.8937,5.893,0.00058832,0.01764218,0.23694962,5.12830639,41.031064,42.579594,0.990401
003_subject_consistency_r03_p035_a_boat_sailing_smoothly_on_a_calm_lake,a boat sailing smoothly on a calm lake,24,121,1280*704,327106560,327.1066,20953705,20.9537,20951040,20.951,12694611,12.6946,"[48, 31, 44, 80]",4369252,4.3693,4.7957,4.7951,7.74e-05,0.00747193,0.022708,0.77216637,49.253695,47.208497,0.993499,4064997,4.065,5.1547,5.154,0.00109634,0.02407717,0.31945759,5.71965933,40.557102,42.49111,0.98879
004_background_consistency_r00_p013_bridge,bridge,24,121,1280*704,327106560,327.1066,20953118,20.9531,20951040,20.951,21176675,21.1767,"[48, 31, 44, 80]",4350170,4.3502,4.8166,4.8161,0.00010157,0.00852683,0.0259881,1.94967914,45.231172,44.143648,0.99202,3820387,3.8204,5.4846,5.484,0.00120613,0.02503079,0.39512539,8.53705502,38.817723,40.237529,0.986149
005_background_consistency_r01_p017_campus,campus,24,121,1280*704,327106560,327.1066,20953118,20.9531,20951040,20.951,18352086,18.3521,"[48, 31, 44, 80]",4409543,4.4095,4.7518,4.7513,0.00012082,0.00937058,0.02653265,1.49232078,46.392182,44.824303,0.9935,3909746,3.9097,5.3592,5.3587,0.00165904,0.03012374,0.35589552,10.64375591,37.859855,39.848414,0.987504
006_background_consistency_r02_p028_downtown,downtown,24,121,1280*704,327106560,327.1066,20953132,20.9531,20951040,20.951,21656445,21.6564,"[48, 31, 44, 80]",4618610,4.6186,4.5367,4.5362,8.068e-05,0.00767919,0.02368331,1.4926101,46.39134,43.802063,0.992497,4050459,4.0505,5.173,5.1725,0.00108659,0.02410062,0.26632369,9.19904423,38.493377,39.996878,0.988454
007_background_consistency_r03_p069_ski_slope,ski slope,24,121,1280*704,327106560,327.1066,20953139,20.9531,20951040,20.951,20289116,20.2891,"[48, 31, 44, 80]",4437752,4.4378,4.7216,4.7211,0.00011675,0.00916466,0.02580845,1.72213018,45.770144,44.533079,0.991492,4157130,4.1571,5.0403,5.0398,0.00180275,0.0312928,0.43119013,20.15221786,35.087575,37.516201,0.98268
008_temporal_flickering_r00_p003_a_tranquil_tableau_of_alley,A tranquil tableau of alley,24,121,1280*704,327106560,327.1066,20953436,20.9534,20951040,20.951,15665115,15.6651,"[48, 31, 44, 80]",4609016,4.609,4.5462,4.5457,7.041e-05,0.00716328,0.02054757,2.85460877,43.575338,44.217448,0.99225,3629565,3.6296,5.773,5.7723,0.00111293,0.02437396,0.30334204,7.61378813,39.314796,41.37285,0.988473
009_temporal_flickering_r01_p004_a_tranquil_tableau_of_bar,A tranquil tableau of bar,24,121,1280*704,327106560,327.1066,20953358,20.9534,20951040,20.951,18416615,18.4166,"[48, 31, 44, 80]",4506712,4.5067,4.6494,4.6489,9.684e-05,0.00834126,0.02493543,1.88958585,45.367137,44.676865,0.992925,3771650,3.7717,5.5555,5.5549,0.00164354,0.02969682,0.36149395,9.8088789,38.21461,40.255855,0.986618
010_temporal_flickering_r02_p011_a_tranquil_tableau_of_house,A tranquil tableau of house,24,121,1280*704,327106560,327.1066,20953436,20.9534,20951040,20.951,19817004,19.817,"[48, 31, 44, 80]",4473136,4.4731,4.6843,4.6837,8.223e-05,0.00772952,0.02070308,4.60091305,41.502363,42.769758,0.991019,3446807,3.4468,6.0791,6.0784,0.00118851,0.02502793,0.28428453,10.72836018,37.82547,39.970926,0.98652
011_temporal_flickering_r03_p054_a_tranquil_tableau_of_in_the_heart_of_plaka_the_neoclassical_architecture_of_the,"A tranquil tableau of in the heart of Plaka, the neoclassical architecture of the old city harmonizes with the ancient ruins",24,121,1280*704,327106560,327.1066,20954191,20.9542,20951040,20.951,16235593,16.2356,"[48, 31, 44, 80]",4653921,4.6539,4.5025,4.5018,8.152e-05,0.00764673,0.02280593,6.98113203,39.691545,41.600567,0.993108,3695815,3.6958,5.6697,5.6689,0.00045435,0.01573036,0.16477394,5.67285299,40.592788,42.348096,0.993447
012_motion_smoothness_r00_p011_a_car_stuck_in_traffic_during_rush_hour,a car stuck in traffic during rush hour,24,121,1280*704,327106560,327.1066,20953634,20.9536,20951040,20.951,14374153,14.3742,"[48, 31, 44, 80]",4515764,4.5158,4.6401,4.6395,8.496e-05,0.00783127,0.02090907,0.62874436,50.146063,47.218206,0.992917,4200919,4.2009,4.9879,4.9873,0.00150188,0.02860964,0.40416929,6.32996321,40.116792,42.245706,0.988098
013_motion_smoothness_r01_p027_a_train_speeding_down_the_tracks,a train speeding down the tracks,24,121,1280*704,327106560,327.1066,20953457,20.9535,20951040,20.951,14480769,14.4808,"[48, 31, 44, 80]",4562492,4.5625,4.5925,4.592,0.00012439,0.00943477,0.02740493,0.85361177,48.8182,46.272656,0.99256,4204960,4.205,4.983,4.9825,0.00226594,0.03494143,0.45261145,9.00554752,38.585702,40.752395,0.985785
014_motion_smoothness_r02_p029_a_train_accelerating_to_gain_speed,a train accelerating to gain speed,24,121,1280*704,327106560,327.1066,20953471,20.9535,20951040,20.951,13264039,13.264,"[48, 31, 44, 80]",4415773,4.4158,4.7451,4.7446,0.00012673,0.00953108,0.02899742,0.98649639,48.189849,45.755096,0.99327,4204503,4.2045,4.9836,4.983,0.00252834,0.03647766,0.50375831,11.79472446,37.413926,39.683717,0.987021
015_motion_smoothness_r03_p064_a_bear_climbing_a_tree,a bear climbing a tree,24,121,1280*704,327106560,327.1066,20953195,20.9532,20951040,20.951,20396897,20.3969,"[48, 31, 44, 80]",4693226,4.6932,4.4646,4.4641,0.00010409,0.00861783,0.02578002,0.91199005,48.530903,44.994487,0.994206,4353008,4.353,4.8135,4.813,0.00186437,0.03174552,0.36952376,11.07747459,37.686396,39.928404,0.990403
016_dynamic_degree_r00_p003_a_person_eating_a_burger,a person eating a burger,24,121,1280*704,327106560,327.1066,20953188,20.9532,20951040,20.951,8192914,8.1929,"[48, 31, 44, 80]",4585964,4.586,4.569,4.5685,9.546e-05,0.00821351,0.02800232,0.2180398,54.745446,49.252154,0.992508,4215926,4.2159,4.97,4.9695,0.00183027,0.03173181,0.34295741,1.45608604,46.498933,47.194402,0.990952
017_dynamic_degree_r01_p025_a_bus_stuck_in_traffic_during_rush_hour,a bus stuck in traffic during rush hour,24,121,1280*704,327106560,327.1066,20953613,20.9536,20951040,20.951,15796116,15.7961,"[48, 31, 44, 80]",4507641,4.5076,4.6485,4.6479,9.497e-05,0.00828309,0.02284145,0.875386,48.708808,46.410341,0.992794,4171360,4.1714,5.0232,5.0226,0.00146646,0.02833233,0.33882678,9.1701088,38.507059,40.861671,0.988068
